BuildingAge,Surface moyenne par étage,Ratio Largest Use / Total,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,PropertyCategory,SiteEnergyUse(kBtu),PrimaryEnergyType_Electricity,PrimaryEnergyType_Mixed,PrimaryEnergyType_NaturalGas,PropertyCategory_Healthcare,PropertyCategory_Hospitality,PropertyCategory_Industrial & Storage,PropertyCategory_Mixed Use,PropertyCategory_Office,PropertyCategory_Other,PropertyCategory_Public / Institutional,PropertyCategory_Retail & Food
89,7369.5,1.0,1.0,12,88434,0,88434,88434.0,0.0,Hospitality,7226362.5,0,1,0,0,1,0,0,0,0,0,0
20,9415.09090909091,0.8099183129598517,1.0,11,103566,15064,88502,83880.0,15064.0,Hospitality,8387933.0,0,0,1,0,1,0,0,0,0,0,0
47,23319.756097560974,0.791219629540534,1.0,41,956110,196718,759392,756493.0,0.0,Hospitality,72587024.0,1,0,0,0,1,0,0,0,0,0,0
90,6132.0,1.0,1.0,10,61320,0,61320,61320.0,0.0,Hospitality,6794584.0,0,1,0,0,1,0,0,0,0,0,0
36,9754.444444444445,0.7030698257204693,1.0,18,175580,62000,113580,123445.0,68009.0,Hospitality,14172606.0,0,0,1,0,1,0,0,0,0,0,0
17,48644.0,0.9130622481703807,1.0,2,97288,37198,60090,88830.0,0.0,Other,12086616.0,1,0,0,0,0,0,0,0,1,0,0
90,7546.181818181818,0.9800501156515035,1.0,11,83008,0,83008,81352.0,0.0,Hospitality,5758795.0,0,1,0,0,1,0,0,0,0,0,0
90,12845.125,1.0,1.0,8,102761,0,102761,102761.0,0.0,Other,6298131.5,0,1,0,0,0,0,0,0,1,0,0
112,10932.266666666666,1.0,1.0,15,163984,0,163984,163984.0,0.0,Hospitality,13723820.0,0,1,0,0,1,0,0,0,0,0,0
18,13327.04,1.0103969073402645,1.0,25,333176,61161,272015,336640.0,0.0,Hospitality,26941110.0,1,0,0,0,1,0,0,0,0,0,0
88,7223.222222222223,1.0,1.0,9,65009,0,65009,65009.0,0.0,Hospitality,6596057.5,0,1,0,0,1,0,0,0,0,0,0
36,9574.30303030303,0.9353034638172887,1.0,33,315952,57600,258352,295511.0,57600.0,Hospitality,22325364.0,1,0,0,0,1,0,0,0,0,0,0
94,8380.90909090909,0.7309903460245146,1.0,11,92190,25200,66990,67390.0,25200.0,Hospitality,10750010.0,0,1,0,0,1,0,0,0,0,0,0
12,37454.545454545456,0.8857111650485436,1.0,11,412000,57000,355000,364913.0,49000.0,Other,18588860.0,1,0,0,0,0,0,0,0,1,0,0
86,17318.5,0.8661258192106707,1.0,6,103911,0,103911,90000.0,40000.0,Other,9956396.0,0,1,0,0,0,0,0,0,1,0,0
33,14867.17857142857,0.8367641088591601,1.0,28,416281,85000,331281,348329.0,85000.0,Hospitality,33556756.0,1,0,0,0,1,0,0,0,0,0,0
109,11490.4,0.28618672979182624,1.0,5,57452,0,57452,16442.0,15505.0,Mixed Use,7606084.5,0,1,0,0,0,0,1,0,0,0,0
100,10435.2,1.0,1.0,10,104352,0,104352,104352.0,0.0,Hospitality,10154608.0,0,1,0,0,1,0,0,0,0,0,0
100,54036.0,0.9940595158783033,1.0,10,540360,0,540360,537150.0,0.0,Other,44984468.0,0,1,0,0,0,0,0,0,1,0,0
31,20277.57894736842,1.0,1.0,19,385274,0,385274,385274.0,0.0,Other,47859812.0,0,0,1,0,0,0,0,0,1,0,0
55,28114.0,1.047805363875649,1.0,2,56228,0,56228,58916.0,0.0,Education,1539478.5,1,0,0,0,0,0,0,0,0,0,0
15,14765.333333333334,0.6547543796279574,1.0,6,88592,30586,58006,58006.0,30586.0,Hospitality,3663534.5,1,0,0,0,1,0,0,0,0,0,0
88,18084.714285714286,0.9874163658338139,1.0,7,126593,0,126593,125000.0,0.0,Education,11343686.0,0,1,0,0,0,0,0,0,0,0,0
86,33612.0,1.0,1.0,2,67224,0,67224,67224.0,0.0,Other,1310236.625,1,0,0,0,0,0,0,0,1,0,0
25,19834.5,0.7101010864907106,1.0,8,158676,30301,128375,112676.0,42000.0,Hospitality,5328051.5,0,0,1,0,1,0,0,0,0,0,0
15,17186.6,0.7500552756217053,1.0,10,171866,38281,133585,128909.0,0.0,Hospitality,11061916.0,0,1,0,0,1,0,0,0,0,0,0
38,13682.0,0.7015640988159626,1.0,5,68410,16200,52210,47994.0,0.0,Hospitality,4456714.5,0,1,0,0,1,0,0,0,0,0,0
67,80322.5,1.0223100625603039,1.0,2,160645,0,160645,164229.0,0.0,Education,6779173.0,0,0,1,0,0,0,0,0,0,0,0
110,29087.333333333332,0.46919621370126746,1.0,3,87262,0,87262,40943.0,18153.0,Office,4145920.5,0,0,1,0,0,0,0,1,0,0,0
22,20467.75,1.0,1.0,4,81871,0,81871,81871.0,0.0,Hospitality,6668568.5,0,1,0,0,1,0,0,0,0,0,0
61,55178.0,0.2376400014498532,1.0,2,110356,0,110356,26225.0,0.0,Industrial & Storage,318364.8125,1,0,0,0,0,1,0,0,0,0,0
24,164945.0,1.5298574272232157,1.0,3,494835,0,494835,757027.0,639931.0,Mixed Use,448385312.0,0,0,1,0,0,0,1,0,0,0,0
55,357047.5,0.8626303222960531,3.0,2,714095,0,714095,616000.0,276000.0,Industrial & Storage,44731160.0,1,0,0,0,0,1,0,0,0,0,0
26,27493.0,1.0,1.0,2,54986,0,54986,54986.0,0.0,Education,1650279.25,1,0,0,0,0,0,0,0,0,0,0
66,87782.5,1.041557257995614,1.0,2,175565,0,175565,182861.0,0.0,Education,6399127.5,0,0,1,0,0,0,0,0,0,0,0
55,47450.0,0.5857323498419389,1.0,2,94900,0,94900,55586.0,39314.0,Office,6186461.5,1,0,0,0,0,0,0,1,0,0,0
116,26277.0,0.9709822278037827,1.0,2,52554,0,52554,51029.0,7849.0,Office,2951331.25,0,1,0,0,0,0,0,1,0,0,0
62,58338.333333333336,1.0,1.0,3,175015,0,175015,175015.0,0.0,Education,6994740.5,0,0,1,0,0,0,0,0,0,0,0
105,23528.666666666668,0.5445697447085824,1.0,3,70586,0,70586,38439.0,28197.0,Industrial & Storage,2158629.0,1,0,0,0,0,1,0,0,0,0,0
47,13842.083333333334,1.049426567532585,1.0,24,332210,205970,126240,348630.0,0.0,Hospitality,16163194.0,1,0,0,0,1,0,0,0,0,0,0
43,33623.0,0.6148291348184278,1.0,5,168115,0,168115,103362.0,65676.0,Office,9536161.0,1,0,0,0,0,0,0,1,0,0,0
