BuildingAge,Surface moyenne par étage,Ratio Largest Use / Total,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,PropertyCategory,SiteEnergyUse(kBtu),PrimaryEnergyType_Electricity,PrimaryEnergyType_Mixed,PrimaryEnergyType_NaturalGas,PropertyCategory_Healthcare,PropertyCategory_Hospitality,PropertyCategory_Industrial & Storage,PropertyCategory_Mixed Use,PropertyCategory_Office,PropertyCategory_Other,PropertyCategory_Public / Institutional,PropertyCategory_Retail & Food,Log_SiteEnergyUse(kBtu)
55,28114.0,1.047805363875649,1.0,2,56228,0,56228,58916.0,0.0,Education,1539478.5,1,0,0,0,0,0,0,0,0,0,0,14.246954930246341
67,80322.5,1.022310062560304,1.0,2,160645,0,160645,164229.0,0.0,Education,6779173.0,0,0,1,0,0,0,0,0,0,0,0,15.72936582358628
26,27493.0,1.0,1.0,2,54986,0,54986,54986.0,0.0,Education,1650279.25,1,0,0,0,0,0,0,0,0,0,0,14.316455679938992
66,87782.5,1.041557257995614,1.0,2,175565,0,175565,182861.0,0.0,Education,6399127.5,0,0,1,0,0,0,0,0,0,0,0,15.67167236718267
62,58338.333333333336,1.0,1.0,3,175015,0,175015,175015.0,0.0,Education,6994740.5,0,0,1,0,0,0,0,0,0,0,0,15.760669210431033
105,18690.666666666668,1.0,1.0,3,56072,0,56072,56072.0,0.0,Education,3234787.75,0,0,1,0,0,0,0,0,0,0,0,14.989474182393874
93,22581.0,1.0,1.0,3,67743,0,67743,67743.0,0.0,Education,2646879.0,0,1,0,0,0,0,0,0,0,0,0,14.788892145840842
108,32350.666666666668,1.0,1.0,6,194104,0,194104,194104.0,0.0,Education,6219841.5,0,0,1,0,0,0,0,0,0,0,0,15.643255142851357
59,130862.0,1.027387629716801,1.0,1,130862,0,130862,134446.0,0.0,Education,6456026.0,0,0,1,0,0,0,0,0,0,0,0,15.68052467107931
27,19985.0,1.0,1.0,3,59955,0,59955,59955.0,0.0,Education,1633399.375,1,0,0,0,0,0,0,0,0,0,0,14.306174519488753
52,46609.0,1.0,1.0,2,93218,0,93218,93218.0,0.0,Education,2887392.0,0,1,0,0,0,0,0,0,0,0,0,14.87586457684853
53,65506.5,1.0068390159755138,1.0,2,131013,0,131013,131909.0,0.0,Education,3894584.5,0,1,0,0,0,0,0,0,0,0,0,15.1750978131389
25,27756.5,1.0645614540738206,1.0,2,55513,0,55513,59097.0,0.0,Education,1513570.75,1,0,0,0,0,0,0,0,0,0,0,14.229982812993523
101,21110.0,1.023527554081794,1.0,3,63330,0,63330,64820.0,0.0,Education,3059758.0,1,0,0,0,0,0,0,0,0,0,0,14.933846712657042
15,26268.0,1.0,1.0,3,78804,0,78804,78804.0,0.0,Education,2499140.0,1,0,0,0,0,0,0,0,0,0,0,14.731457630794424
14,22331.33333333333,1.0,1.0,3,66994,0,66994,66994.0,0.0,Education,2371304.5,1,0,0,0,0,0,0,0,0,0,0,14.67895120533437
16,32785.666666666664,1.0,1.0,3,98357,0,98357,98357.0,0.0,Education,3456131.5,0,1,0,0,0,0,0,0,0,0,0,15.055660747291528
36,26305.5,1.0,1.0,2,52611,0,52611,52611.0,0.0,Education,4116871.5,1,0,0,0,0,0,0,0,0,0,0,15.230604331120192
14,20842.0,1.0,1.0,3,62526,0,62526,62526.0,0.0,Education,1986094.875,0,1,0,0,0,0,0,0,0,0,0,14.50168139785003
64,86592.5,1.0,1.0,2,173185,0,173185,173185.0,0.0,Education,6127771.5,0,0,1,0,0,0,0,0,0,0,0,15.628341865039797
53,145341.0,0.9568463131532052,1.0,1,145341,0,145341,139069.0,0.0,Education,5499097.0,0,0,1,0,0,0,0,0,0,0,0,15.520094636753228
58,46797.0,1.0,1.0,1,46797,0,46797,46797.0,0.0,Education,2075891.0,0,0,1,0,0,0,0,0,0,0,0,14.54590149879328
12,33685.5,1.0,1.0,2,67371,0,67371,67371.0,0.0,Education,2128459.0,1,0,0,0,0,0,0,0,0,0,0,14.570909271496829
6,42592.0,1.0,1.0,3,127776,0,127776,127776.0,0.0,Education,4748137.0,1,0,0,0,0,0,0,0,0,0,0,15.37326309915874
17,33617.5,1.0,1.0,2,67235,0,67235,67235.0,0.0,Education,2284133.75,1,0,0,0,0,0,0,0,0,0,0,14.641497845390791
25,19372.666666666668,1.0154169104236208,1.0,3,58118,0,58118,59014.0,0.0,Education,1407277.25,1,0,0,0,0,0,0,0,0,0,0,14.157168077738389
91,70762.0,1.0,1.0,1,70762,0,70762,70762.0,0.0,Education,3606416.0,0,0,1,0,0,0,0,0,0,0,0,15.098225316658542
19,60266.5,1.0,1.0,4,241066,0,241066,241066.0,0.0,Education,7791957.0,0,0,1,0,0,0,0,0,0,0,0,15.868602734146243
17,71714.0,1.0,1.0,1,71714,0,71714,71714.0,0.0,Education,2371358.0,1,0,0,0,0,0,0,0,0,0,0,14.678973766491712
88,27826.5,0.99725082205811,1.0,2,55653,0,55653,55500.0,0.0,Education,1377627.0,0,0,1,0,0,0,0,0,0,0,0,14.135873737652302
15,25058.0,1.0,1.0,3,75174,0,75174,75174.0,0.0,Education,2733846.0,0,1,0,0,0,0,0,0,0,0,0,14.821220332739605
13,25071.33333333333,1.0,1.0,3,75214,0,75214,75214.0,0.0,Education,2334260.0,1,0,0,0,0,0,0,0,0,0,0,14.66320591076947
11,44972.66666666666,1.0,1.0,3,134918,0,134918,134918.0,0.0,Education,3822102.5,1,0,0,0,0,0,0,0,0,0,0,15.156311483478492
25,32207.0,1.013910019560965,1.0,2,64414,0,64414,65310.0,0.0,Education,2295176.5,1,0,0,0,0,0,0,0,0,0,0,14.646320740533971
89,30812.33333333333,1.0,1.0,3,92437,0,92437,92437.0,0.0,Education,4626443.0,0,0,1,0,0,0,0,0,0,0,0,15.347299096415538
100,30061.0,1.0,1.0,2,60122,0,60122,60122.0,0.0,Education,690529.5,1,0,0,0,0,0,0,0,0,0,0,13.445215421746637
42,28500.0,1.0,2.0,4,114000,0,114000,114000.0,0.0,Education,7575080.0,1,0,0,0,0,0,0,0,0,0,0,15.840374602371844
66,61183.0,1.0292891816354215,1.0,1,61183,0,61183,62975.0,0.0,Education,2424724.25,0,0,1,0,0,0,0,0,0,0,0,14.701228776965836
61,46732.0,1.0903877428742617,1.0,1,46732,0,46732,50956.0,0.0,Education,2331952.75,0,0,1,0,0,0,0,0,0,0,0,14.66221699349427
62,25744.5,1.0,1.0,2,51489,0,51489,51489.0,0.0,Education,1984067.625,0,0,1,0,0,0,0,0,0,0,0,14.500660155442471
91,18663.5,1.3096953947544672,1.0,2,37327,0,37327,48887.0,0.0,Education,1967476.375,0,0,1,0,0,0,0,0,0,0,0,14.492262759842902
86,23801.0,0.9677324482164616,1.0,2,47602,0,47602,46066.0,0.0,Education,2249592.5,0,0,1,0,0,0,0,0,0,0,0,14.626260091191748
24,14461.5,0.995747329115237,1.0,2,28923,0,28923,28800.0,0.0,Education,439311.9063,0,0,1,0,0,0,0,0,0,0,0,12.99296720877201
88,7200.0,1.0,1.0,3,21600,0,21600,21600.0,0.0,Education,323739.4063,1,0,0,0,0,0,0,0,0,0,0,12.687697258506624
15,35805.0,1.0,1.0,1,35805,0,35805,35805.0,0.0,Education,431471.6875,0,1,0,0,0,0,0,0,0,0,0,12.974959490862673
106,9600.0,1.0,1.0,3,28800,0,28800,28800.0,0.0,Education,717056.375,1,0,0,0,0,0,0,0,0,0,0,13.482911137300757
59,10800.0,1.0,1.0,2,21600,0,21600,21600.0,0.0,Education,1261536.75,0,1,0,0,0,0,0,0,0,0,0,14.04784197130834
21,7620.0,1.0,1.0,3,22860,0,22860,22860.0,0.0,Education,931148.625,1,0,0,0,0,0,0,0,0,0,0,13.744175257631762
58,38624.0,1.072079536039768,1.0,1,38624,0,38624,41408.0,0.0,Education,1424157.25,0,1,0,0,0,0,0,0,0,0,0,14.169091495397486
27,7166.666666666667,4.472279069767442,5.0,3,21500,0,21500,96154.0,0.0,Education,6689184.0,0,1,0,0,0,0,0,0,0,0,0,15.716002601065972
45,55206.0,1.0,1.0,1,55206,0,55206,55206.0,0.0,Education,2345752.5,0,1,0,0,0,0,0,0,0,0,0,14.668117230211292
94,16731.0,1.730201422509115,1.0,2,33462,0,33462,57896.0,0.0,Education,3987215.5,0,0,1,0,0,0,0,0,0,0,0,15.19860392636903
51,16581.333333333332,1.0,1.0,3,49744,0,49744,49744.0,0.0,Education,2096835.5,0,0,1,0,0,0,0,0,0,0,0,14.555940338317887
45,51704.0,1.0,1.0,1,51704,0,51704,51704.0,0.0,Education,1799402.75,1,0,0,0,0,0,0,0,0,0,0,14.402965917990993
15,20692.666666666668,1.0,1.0,3,62078,0,62078,62078.0,0.0,Education,1955013.5,0,1,0,0,0,0,0,0,0,0,0,14.485908168253893
94,10897.0,1.0262763451714538,1.0,3,32691,0,32691,33550.0,0.0,Education,971990.3125,0,1,0,0,0,0,0,0,0,0,0,13.787102145645433
17,31833.666666666668,1.0,1.0,3,95501,0,95501,95501.0,0.0,Education,3009967.0,1,0,0,0,0,0,0,0,0,0,0,14.91744000543931
30,23190.0,1.0,1.0,1,23190,0,23190,23190.0,0.0,Education,1705515.25,0,0,1,0,0,0,0,0,0,0,0,14.3493784087931
94,9606.666666666666,1.1721027064538514,1.0,3,28820,0,28820,33780.0,0.0,Education,2595783.5,0,0,1,0,0,0,0,0,0,0,0,14.769399341033747
91,48789.0,1.0,1.0,1,48789,0,48789,48789.0,0.0,Education,1298307.625,1,0,0,0,0,0,0,0,0,0,0,14.07657291762906
91,33105.0,1.0,1.0,1,33105,0,33105,33105.0,0.0,Education,1725336.25,0,0,1,0,0,0,0,0,0,0,0,14.360933096584922
9,12165.0,1.0166050143855323,1.0,4,48660,0,48660,49468.0,0.0,Education,1881516.125,0,1,0,0,0,0,0,0,0,0,0,14.447588990754703
86,22980.0,1.0,1.0,2,45960,0,45960,45960.0,0.0,Education,4167253.75,0,0,1,0,0,0,0,0,0,0,0,15.242768043645107
17,24626.0,1.2405384552911556,1.0,2,49252,0,49252,61099.0,0.0,Education,3485865.5,0,1,0,0,0,0,0,0,0,0,0,15.064227208287484
66,34005.0,1.4802823114247905,1.0,1,34005,0,34005,50337.0,0.0,Education,991918.0,1,0,0,0,0,0,0,0,0,0,0,13.807396729707397
67,41221.0,1.4753159797190751,1.0,1,41221,0,41221,60814.0,0.0,Education,2246747.5,1,0,0,0,0,0,0,0,0,0,0,14.624994617889374
16,37802.5,1.0,1.0,2,75605,0,75605,75605.0,0.0,Education,2274873.5,1,0,0,0,0,0,0,0,0,0,0,14.637435444010388
8,14762.5,1.0,1.0,2,29525,0,29525,29525.0,0.0,Education,1297812.75,1,0,0,0,0,0,0,0,0,0,0,14.076191675965909
28,27264.0,0.995543573943662,1.0,2,54528,0,54528,54285.0,0.0,Education,1972078.625,1,0,0,0,0,0,0,0,0,0,0,14.494599191118603
48,8718.8,0.9361150617057392,1.0,5,43594,0,43594,40809.0,0.0,Education,2478045.5,0,1,0,0,0,0,0,0,0,0,0,14.722981106128334
61,38582.0,1.046446529469701,1.0,1,38582,0,38582,40374.0,0.0,Education,1848878.5,0,0,1,0,0,0,0,0,0,0,0,14.430090337883223
94,11816.0,1.0,1.0,3,35448,0,35448,35448.0,0.0,Education,1379932.5,0,0,1,0,0,0,0,0,0,0,0,14.137545867566493
86,7994.333333333333,1.0,1.0,3,23983,0,23983,23983.0,0.0,Education,1164364.75,0,1,0,0,0,0,0,0,0,0,0,13.967687076130375
12,15671.5,1.643588680088058,3.0,2,31343,0,31343,51515.0,0.0,Education,3846501.25,0,1,0,0,0,0,0,0,0,0,0,15.16267478682831
92,21487.5,0.4980802792321117,1.0,2,42975,0,42975,21405.0,0.0,Education,959352.0,0,0,1,0,0,0,0,0,0,0,0,13.774014377898675
45,50546.0,1.0531792822379615,1.0,1,50546,0,50546,53234.0,0.0,Education,1155080.5,1,0,0,0,0,0,0,0,0,0,0,13.959681462219159
45,26304.5,1.0,1.0,2,52609,0,52609,52609.0,0.0,Education,1801941.75,0,1,0,0,0,0,0,0,0,0,0,14.404375946390463
94,10796.0,0.9586884031122638,1.0,2,21592,0,21592,20700.0,0.0,Education,1431784.0,0,0,1,0,0,0,0,0,0,0,0,14.174432475565835
85,11961.5,1.0,1.0,2,23923,0,23923,23923.0,0.0,Education,805643.5,1,0,0,0,0,0,0,0,0,0,0,13.599397857192587
16,32246.5,1.0,1.0,2,64493,0,64493,64493.0,0.0,Education,1989763.875,1,0,0,0,0,0,0,0,0,0,0,14.503527036453697
104,21126.0,1.0,1.0,2,42252,0,42252,42252.0,0.0,Education,2203758.5,0,0,1,0,0,0,0,0,0,0,0,14.605675323518732
55,41428.0,1.0,1.0,1,41428,0,41428,41428.0,0.0,Education,1404702.25,0,1,0,0,0,0,0,0,0,0,0,14.155336628477604
46,41526.0,1.0,1.0,1,41526,0,41526,41526.0,0.0,Education,1814947.0,0,1,0,0,0,0,0,0,0,0,0,14.411567375132924
27,17224.0,1.0,1.0,3,51672,0,51672,51672.0,0.0,Education,1436510.375,1,0,0,0,0,0,0,0,0,0,0,14.177728075922166
68,64314.0,1.0139316478527225,1.0,1,64314,0,64314,65210.0,0.0,Education,2936336.25,0,0,1,0,0,0,0,0,0,0,0,14.892673529286029
87,12076.0,1.0,1.0,2,24152,0,24152,24152.0,0.0,Education,161363.4063,1,0,0,0,0,0,0,0,0,0,0,11.991420479518519
67,21822.5,0.8477488830335663,1.0,2,43645,0,43645,37000.0,0.0,Education,2053956.375,0,0,1,0,0,0,0,0,0,0,0,14.535278917064463
57,36701.0,1.097654014876979,1.0,1,36701,0,36701,40285.0,0.0,Education,1564891.75,0,1,0,0,0,0,0,0,0,0,0,14.26332784925664
76,20646.5,0.6391640229578863,1.0,2,41293,15243,26050,26393.0,15000.0,Education,2839882.25,1,0,0,0,0,0,0,0,0,0,0,14.859273500137455
54,9958.0,1.0502443596438376,1.0,3,29874,0,29874,31375.0,0.0,Education,1274049.75,0,0,1,0,0,0,0,0,0,0,0,14.057711949485682
85,39038.66666666666,1.0,1.0,3,117116,0,117116,117116.0,0.0,Education,5722325.5,0,0,1,0,0,0,0,0,0,0,0,15.559886011432674
93,11525.0,1.0,1.0,4,46100,0,46100,46100.0,0.0,Education,2177064.75,0,1,0,0,0,0,0,0,0,0,0,14.59348854187361
54,51410.0,1.0,1.0,1,51410,0,51410,51410.0,0.0,Education,1968907.25,0,1,0,0,0,0,0,0,0,0,0,14.492989759278085
91,36884.5,1.0,1.0,2,73769,0,73769,73769.0,0.0,Education,2556131.0,0,0,1,0,0,0,0,0,0,0,0,14.754005736338588
55,43578.0,1.0411216668961405,1.0,1,43578,0,43578,45370.0,0.0,Education,1436773.875,1,0,0,0,0,0,0,0,0,0,0,14.177911489601007
7,14250.0,1.0912280701754389,4.0,2,28500,0,28500,31100.0,0.0,Education,1162561.125,1,0,0,0,0,0,0,0,0,0,0,13.966136855875952
91,12765.666666666666,1.0,1.0,3,38297,0,38297,38297.0,0.0,Education,1845150.625,0,0,1,0,0,0,0,0,0,0,0,14.42807201365186
78,11611.0,0.6461975712686245,1.0,2,23222,0,23222,15006.0,0.0,Education,1219863.125,0,0,1,0,0,0,0,0,0,0,0,14.014250037556192
112,20000.0,0.81305,1.0,3,60000,0,60000,48783.0,0.0,Education,3625407.5,0,1,0,0,0,0,0,0,0,0,0,15.103477529577082
52,19964.5,1.0,1.0,2,39929,0,39929,39929.0,0.0,Education,1813718.0,0,1,0,0,0,0,0,0,0,0,0,14.410889991373548
45,26450.5,1.0,1.0,2,52901,0,52901,52901.0,0.0,Education,2240342.0,0,1,0,0,0,0,0,0,0,0,0,14.622139537108787
